gene_id	baseMn	l2fc	lfcSE	pval	padj
ATXN7	1.92E+02	0.18	0.12	1.19E-01	1.00E+00
ATXN7L2	1.38E+01	0.16	0.29	5.76E-01	1.00E+00
ATXN7L3	6.47E+02	0.09	0.07	2.15E-01	1.00E+00
ATXN7L3B	9.50E+02	0.02	0.06	7.42E-01	1.00E+00
AUH	5.53E+01	0.16	0.16	3.16E-01	1.00E+00
AURKA	1.30E+02	0.1	0.11	4.07E-01	1.00E+00
AUTS2	1.98E+02	0.13	0.1	2.24E-01	1.00E+00
AVIL	4.85E+00	0.2	0.63	7.56E-01	1.00E+00
AVL9	4.24E+02	0.13	0.07	8.95E-02	1.00E+00
AVPR1A	7.29E+00	0.42	0.49	3.86E-01	1.00E+00
AVPR2	1.84E+00	0.38	1.02	7.10E-01	1.00E+00
AXIN2	5.43E+01	0.02	0.18	9.28E-01	1.00E+00
AZIN1	2.12E+03	0.03	0.07	6.18E-01	1.00E+00
B3GALNT1	6.36E+02	0.12	0.09	1.80E-01	1.00E+00
B3GALNT2	1.85E+02	0.08	0.11	4.49E-01	1.00E+00
B3GALT1	3.27E+01	0.23	0.23	3.33E-01	1.00E+00
B3GALT5	1.38E+01	0.11	0.38	7.65E-01	1.00E+00
B3GALT9	4.56E+01	0.07	0.2	7.36E-01	1.00E+00
B3GAT2	1.61E+00	1.45	0.93	1.20E-01	1.00E+00
B3GLCT	4.02E+02	0.04	0.11	7.45E-01	1.00E+00
B3GNT2	8.18E+02	0.06	0.1	5.61E-01	1.00E+00
B3GNT4	1.17E+00	1.81	1.33	1.73E-01	1.00E+00
B3GNT5	1.93E+02	0.18	0.14	1.78E-01	1.00E+00
B3GNT7	9.53E+00	0.53	0.39	1.70E-01	1.00E+00
B3GNT9	3.46E+01	0.03	0.28	9.26E-01	1.00E+00
B4GALNT1	2.94E+00	0.81	0.74	2.73E-01	1.00E+00
B4GALNT2	2.74E+01	0.1	0.33	7.67E-01	1.00E+00
B4GALT1	1.67E+03	0.08	0.09	3.82E-01	1.00E+00
B4GALT3	1.14E+02	0.02	0.15	8.94E-01	1.00E+00
B4GALT5	1.68E+03	0.11	0.09	1.98E-01	1.00E+00
B4GALT6	4.16E+02	0.14	0.12	2.17E-01	1.00E+00
B4GALT7	7.74E+01	0.07	0.15	6.17E-01	1.00E+00
B4GAT1	2.53E+02	0.04	0.1	7.06E-01	1.00E+00
B9D1	8.75E+00	0.28	0.44	5.27E-01	1.00E+00
BACE2	7.60E+02	0.12	0.09	1.78E-01	1.00E+00
BACH2	4.21E+01	0.27	0.17	1.24E-01	1.00E+00
BAG2	6.52E+01	0.11	0.19	5.59E-01	1.00E+00
BAG4	2.85E+02	0.09	0.12	4.37E-01	1.00E+00
BAHCC1	1.53E+02	0.11	0.14	4.26E-01	1.00E+00
BAHD1	1.92E+02	0.07	0.09	4.09E-01	1.00E+00
BAIAP2	5.87E+01	0.25	0.15	9.74E-02	1.00E+00
BAIAP2L1	4.88E+00	0.93	0.54	8.68E-02	1.00E+00
BAIAP3	2.03E+01	0.24	0.27	3.79E-01	1.00E+00
BAK1	8.60E+01	0.16	0.19	3.86E-01	1.00E+00
BANF1	1.21E+03	0.04	0.1	6.99E-01	1.00E+00
BARD1	1.04E+02	0.1	0.12	4.13E-01	1.00E+00
BASP1	1.49E+03	0.09	0.1	3.68E-01	1.00E+00
BATF	6.55E-01	2.12	1.42	1.36E-01	1.00E+00
BATF2	7.20E+00	0.18	0.5	7.26E-01	1.00E+00
BAZ1A	2.02E+03	0.02	0.1	8.09E-01	1.00E+00
BAZ1B	2.59E+03	0.02	0.09	8.20E-01	1.00E+00
BBLN	3.00E+01	0.03	0.32	9.26E-01	1.00E+00
BBOF1	1.84E+01	0.32	0.25	1.90E-01	1.00E+00
BBS10	2.11E+02	0.03	0.11	7.62E-01	1.00E+00
BBS2	2.98E+02	0.11	0.09	2.13E-01	1.00E+00
BBS9	6.46E+01	0.15	0.14	2.84E-01	1.00E+00
BCAP29	8.13E+02	0.02	0.1	8.58E-01	1.00E+00
BCAP31	1.70E+03	0.02	0.06	7.18E-01	1.00E+00
BCAR1	5.85E+02	0.03	0.11	7.70E-01	1.00E+00
BCAS1	1.83E+00	0.98	0.88	2.67E-01	1.00E+00
BCAT1	2.12E+03	0.17	0.09	5.75E-02	1.00E+00
BCAT2	3.58E+01	0.06	0.21	7.68E-01	1.00E+00
BCDIN3D	3.93E+01	0.22	0.2	2.68E-01	1.00E+00
BCHE	5.04E+01	0.26	0.18	1.63E-01	1.00E+00
BCKDHB	1.04E+02	0.02	0.13	8.94E-01	1.00E+00
BCKDK	8.45E+01	0.02	0.19	9.10E-01	1.00E+00
BCL10	3.19E+02	0.15	0.1	1.14E-01	1.00E+00
BCL11B	4.96E-01	0.61	1.78	7.30E-01	1.00E+00
BCL2	1.10E+02	0.03	0.18	8.83E-01	1.00E+00
BCL2A1	6.11E-01	0.73	1.59	6.45E-01	1.00E+00
BCL2L11	1.32E+02	0.01	0.2	9.68E-01	1.00E+00
BCL2L13	5.42E+02	0.01	0.07	9.34E-01	1.00E+00
BCL2L14	1.12E+00	1.9	1.22	1.17E-01	1.00E+00
BCL2L2	2.20E+02	0.04	0.13	7.78E-01	1.00E+00
BCL2L2-PABPN1	2.73E+01	0.31	0.85	7.19E-01	1.00E+00
BCL6	2.26E+02	0.1	0.23	6.61E-01	1.00E+00
BCL6B	2.03E+03	0.01	0.07	9.16E-01	1.00E+00
BCL7A	1.23E+02	0.16	0.14	2.47E-01	1.00E+00
BCL9	1.31E+02	0.19	0.12	1.10E-01	1.00E+00
BCLAF3	1.12E+02	0.18	0.19	3.49E-01	1.00E+00
BDH1	1.55E+01	0.5	0.37	1.79E-01	1.00E+00
BDKRB2	1.12E+01	0.09	0.4	8.17E-01	1.00E+00
BDP1	1.02E+03	0.06	0.14	6.78E-01	1.00E+00
BECN1	7.05E+02	0.02	0.07	7.38E-01	1.00E+00
BEGAIN	8.73E+00	0.18	0.4	6.61E-01	1.00E+00
BEND2	1.81E+00	0.27	0.85	7.56E-01	1.00E+00
BEND4	1.72E+02	0.04	0.27	8.78E-01	1.00E+00
BEST1	3.75E+00	0.63	0.62	3.08E-01	1.00E+00
BEST3	7.11E+00	0.88	0.42	3.82E-02	1.00E+00
BET1	1.30E+02	0.07	0.12	5.45E-01	1.00E+00
BET1L	2.08E+02	0.1	0.14	4.91E-01	1.00E+00
BFAR	5.08E+02	0.09	0.09	3.25E-01	1.00E+00
BICRA	2.32E+01	0.21	0.28	4.49E-01	1.00E+00
BICRAL	7.76E+01	0.16	0.13	2.36E-01	1.00E+00
BID	7.98E+01	0.02	0.15	9.03E-01	1.00E+00
BIK	6.49E-01	2.17	1.65	1.90E-01	1.00E+00
BIN3	1.26E+02	0.01	0.15	9.30E-01	1.00E+00
BIRC2	9.08E+02	0.09	0.11	3.98E-01	1.00E+00
BIRC3	6.87E+01	0.16	0.36	6.62E-01	1.00E+00
BIRC6	1.06E+03	0.03	0.11	7.90E-01	1.00E+00
BIVM	1.56E+02	0.23	0.12	5.56E-02	1.00E+00
BLCAP	9.60E+02	0.08	0.12	5.31E-01	1.00E+00
BLMH	9.16E+02	0.06	0.07	3.64E-01	1.00E+00
BLNK	8.44E+00	0.06	0.44	8.89E-01	1.00E+00
BLOC1S2	4.67E+02	0.06	0.12	6.00E-01	1.00E+00
BLOC1S3	3.10E+01	0.46	0.23	4.67E-02	1.00E+00
BLOC1S6	7.32E+02	0.08	0.08	3.50E-01	1.00E+00
BLVRA	1.33E+02	0.02	0.16	9.03E-01	1.00E+00
BMP10	4.94E+00	0.04	0.6	9.46E-01	1.00E+00
BMP2	3.84E+01	0.19	0.22	3.81E-01	1.00E+00
BMP4	1.15E+02	0.09	0.17	5.84E-01	1.00E+00
BMP6	1.10E+03	0.02	0.09	7.93E-01	1.00E+00
BMP8A	4.07E+00	0.71	0.56	2.08E-01	1.00E+00
BMP8B	1.86E+00	0.78	0.83	3.49E-01	1.00E+00
BMPR1A	3.48E+02	0.11	0.11	3.44E-01	1.00E+00
BMPR2	1.19E+03	0.04	0.09	6.56E-01	1.00E+00
BMT2	3.28E+01	0.27	0.25	2.67E-01	1.00E+00
BNC2	1.06E+02	0.92	0.38	1.58E-02	1.00E+00
BNIP1	2.87E+01	0.18	0.22	4.08E-01	1.00E+00
BNIP2	9.02E+02	0.01	0.07	8.76E-01	1.00E+00
BNIPL	2.50E+00	0.76	0.87	3.82E-01	1.00E+00
